日期,国家,省州,累计确诊,累计治愈,累计死亡
2020/11/24,Congo (Brazzaville),,5632,4988,93
2020/11/24,Belgium,,561803,0,15938
2020/11/24,Diamond Princess,,712,659,13
2020/11/24,France,St Martin,690,598,12
2020/11/24,Sierra Leone,,2406,1829,74
2020/11/24,Uruguay,,4870,3827,72
2020/11/24,Vanuatu,,1,0,0
2020/11/24,Slovakia,,97493,50738,709
2020/11/24,Oman,,122579,113856,1391
2020/11/24,Australia,Western Australia,808,774,9
2020/11/24,Ghana,,51184,50029,323
2020/11/24,United Kingdom,,1538794,0,55838
2020/11/24,Argentina,,1381795,1210634,37432
2020/11/24,Cuba,,7950,7428,133
2020/11/24,Ukraine,,665968,312564,11619
2020/11/24,Sao Tome and Principe,,981,926,17
2020/11/24,Congo (Kinshasa),,12310,11433,331
2020/11/24,Iran,,880542,617715,45738
2020/11/24,Nigeria,,66607,62311,1169
2020/11/24,Guinea,,12863,11877,75
2020/11/24,Saint Lucia,,226,109,2
2020/11/24,Philippines,,421722,386792,8185
2020/11/24,United Kingdom,Bermuda,227,200,9
2020/11/24,Liechtenstein,,1158,952,13
